Student_ID,Course_Code,Course_Title,Credits,Academic_Year,Semester,Enrollment_Date
RPH20220001,CS202,Web Development,3.0,2024/2025,S1,2025-02-26
RPH20220001,PHY101,Physics for Engineers,4.0,2025/2026,SEM1,2025-06-01
RPH20220001,CS102,Data Structures,5.0,2023/2024,S2,2025-12-04
RPH20220001,CS201,Database Systems,4.0,2023/2024,Semester 1,2025-03-11
RPH20220001,MTH101,Calculus I,4.0,2025/2026,Semester 1,2025-04-09
RPH20220001,CS-101,Introduction to Programming,4.0,2025/2026,S1,2025-06-29
RPH20220001,ENG101,Technical Writing,3.0,2023/2024,Semester 1,2025-05-08
RPH20250002,ENG101,Technical Writing,3.0,2024/2025,Semester 2,2025-11-01
RPH20250002,CS302,Cloud Computing,4.0,2024/2025,S2,2025-06-04
RPH20250002,CS101,Introduction to Programming,4.0,2023/2024,Semester 2,2025-12-22
RPH20250002,CS301,Machine Learning,5.0,2024/2025,S1,2025-09-20
RPH20240003,MTH102,Linear Algebra,4.0,2025/2026,Semester 2,2025-07-29
RPH20240003,cs302,Cloud Computing,4.0,2024/2025,SEM2,2025-12-28
RPH20240003,PHY101,Physics for Engineers,4.0,2025/2026,S1,2025-09-22
RPH20240003,CS101,Introduction to Programming,4.0,2023/2024,SEM1,2025-04-28
RPH20240003,CS202,Web Development,3.0,2023/2024,SEM1,2025-12-18
RPH20230004,CS-201,Database Systems,4.0,2024/2025,Semester 1,2025-06-26
RPH20230004,CS202,Web Development,3.0,2025/2026,Semester 1,2025-06-03
RPH20230004,MTH102,Linear Algebra,4.0,2023/2024,Semester 2,2025-08-12
RPH20230004,ENG101,Technical Writing,3.0,2025/2026,SEM1,2025-05-16
RPH20230005,CS101,Introduction to Programming,4.0,2023/2024,S1,2025-09-24
RPH20230005,CS202,Web Development,3.0,2023/2024,SEM1,2025-05-03
RPH20230005,ENG101,Technical Writing,3.0,2025/2026,S2,2025-06-03
RPH20230005,MTH102,Linear Algebra,4.0,2025/2026,Semester 2,2025-11-05
RPH20230005,CS301,Machine Learning,5.0,2025/2026,S2,2025-10-22
RPH20230005,CS201,Database Systems,4.0,2023/2024,SEM2,2025-07-07
RPH20240006,CS301,Machine Learning,5.0,2024/2025,Semester 2,2025-07-01
RPH20240006,MTH102,Linear Algebra,4.0,2025/2026,Semester 1,2025-02-24
RPH20240006,MTH101,Calculus I,4.0,2025/2026,SEM2,2025-03-07
RPH20240006,,Physics for Engineers,4.0,2023/2024,Semester 2,2025-12-05
RPH20250007,ENG101,Technical Writing,3.0,2023/2024,SEM1,2025-05-13
RPH20250007,CS301,Machine Learning,5.0,2024/2025,S1,2025-05-09
RPH20250007,CS102,Data Structures,5.0,2023/2024,S1,2025-11-10
RPH20250007,MTH102,Linear Algebra,4.0,2023/2024,Semester 2,2025-12-30
RPH20220008,ENG101,Technical Writing,3.0,2023/2024,S1,2025-06-15
RPH20220008,MTH102,Linear Algebra,4.0,2024/2025,SEM2,2025-12-05
RPH20220008,CS-101,Introduction to Programming,4.0,2025/2026,SEM2,2025-08-24
RPH20220008,,Calculus I,4.0,2023/2024,Semester 2,2025-09-23
RPH20220008,,Machine Learning,5.0,2023/2024,S2,2025-06-11
RPH20230009,ENG101,Technical Writing,3.0,2024/2025,S1,2025-10-29
RPH20230009,PHY101,Physics for Engineers,4.0,2024/2025,SEM1,2025-10-21
RPH20230009,MTH102,Linear Algebra,4.0,2024/2025,SEM1,2025-07-13
RPH20230009,MTH101,Calculus I,4.0,2024/2025,Semester 1,2025-07-01
RPH20230009,CS301,Machine Learning,5.0,2023/2024,S1,2025-07-15
RPH20220010,CS302,Cloud Computing,4.0,2023/2024,SEM1,2025-12-31
RPH20220010,MTH102,Linear Algebra,,2025/2026,SEM1,2025-10-14
RPH20220010,CS301,Machine Learning,5.0,2025/2026,Semester 2,2025-08-28
RPH20220010,MTH101,Calculus I,4.0,2025/2026,SEM2,2025-10-13
RPH20220010,CS102,Data Structures,5.0,2024/2025,SEM2,2025-09-16
RPH20220010,PHY101,Physics for Engineers,4.0,2024/2025,SEM2,2025-12-02
RPH20220010,CS202,Web Development,3.0,2023/2024,Semester 2,2025-11-16
RPH20230011,CS-302,Cloud Computing,,2023/2024,SEM1,2025-08-02
RPH20230011,PHY101,Physics for Engineers,4.0,2024/2025,Semester 1,2025-12-18
RPH20230011,CS301,Machine Learning,5.0,2023/2024,Semester 1,2025-04-14
RPH20230011,MTH101,Calculus I,4.0,2025/2026,Semester 1,2025-12-11
RPH20230011,CS201,Database Systems,4.0,2023/2024,S2,2026-01-06
RPH20230011,CS102,Data Structures,5.0,2023/2024,Semester 1,2025-06-20
RPH20220012,ENG101,Technical Writing,3.0,2023/2024,SEM2,2025-10-04
RPH20220012,MTH101,Calculus I,4.0,2024/2025,Semester 2,2025-10-05
RPH20220012,,Database Systems,4.0,2023/2024,Semester 2,2025-05-01
RPH20220012,PHY101,Physics for Engineers,,2024/2025,S2,2025-07-30
RPH20220012,CS202,Web Development,3.0,2023/2024,Semester 1,2025-10-27
RPH20220012,CS-101,Introduction to Programming,4.0,2023/2024,Semester 1,2025-09-04
RPH20250013,CS302,Cloud Computing,4.0,2023/2024,Semester 2,2025-11-05
RPH20250013,cs201,Database Systems,4.0,2025/2026,Semester 2,2025-10-15
RPH20250013,CS-101,Introduction to Programming,4.0,2025/2026,Semester 1,2025-03-05
RPH20250013,PHY101,Physics for Engineers,4.0,2023/2024,SEM1,2025-09-28
RPH20250013,CS202,Web Development,3.0,2023/2024,SEM1,2025-07-04
RPH20250013,MTH102,Linear Algebra,4.0,2023/2024,S2,2025-07-26
RPH20230014,MTH101,Calculus I,4.0,2024/2025,Semester 1,2025-03-21
RPH20230014,MTH102,Linear Algebra,4.0,2025/2026,Semester 1,2025-03-21
RPH20230014,CS201,Database Systems,4.0,2025/2026,S2,2025-09-11
RPH20230014,CS102,Data Structures,5.0,2024/2025,Semester 2,2025-09-17
RPH20230014,PHY101,Physics for Engineers,4.0,2025/2026,Semester 2,2025-06-21
RPH20230014,ENG101,Technical Writing,3.0,2024/2025,SEM2,2025-06-28
RPH20230014,CS202,Web Development,3.0,2025/2026,S1,2025-06-14
RPH20250015,MTH101,Calculus I,4.0,2024/2025,SEM2,2025-08-28
RPH20250015,CS102,Data Structures,5.0,2025/2026,Semester 2,2025-04-01
RPH20250015,CS302,Cloud Computing,4.0,2023/2024,S2,2025-03-24
RPH20250015,CS202,Web Development,3.0,2024/2025,Semester 2,2025-06-29
RPH20250015,CS201,Database Systems,4.0,2024/2025,SEM2,2025-02-19
RPH20250015,CS301,Machine Learning,5.0,2023/2024,S2,2025-09-21
RPH20250015,PHY101,Physics for Engineers,4.0,2024/2025,S1,2025-06-08
RPH20250016,CS302,Cloud Computing,4.0,2024/2025,S1,2025-03-04
RPH20250016,CS101,Introduction to Programming,4.0,2025/2026,Semester 1,2025-07-16
RPH20250016,ENG101,Technical Writing,3.0,2023/2024,SEM2,2025-04-25
RPH20250016,PHY101,Physics for Engineers,4.0,2023/2024,Semester 1,2025-09-29
RPH20250016,CS301,Machine Learning,5.0,2023/2024,Semester 1,2025-08-26
RPH20220017,PHY101,Physics for Engineers,4.0,2024/2025,SEM2,2025-03-16
RPH20220017,CS301,Machine Learning,5.0,2023/2024,SEM1,2025-11-01
