Student_ID,Course_Code,Course_Title,Credits,Academic_Year,Semester,Enrollment_Date
RPK20230001,CS102,Data Structures,5.0,2024/2025,SEM2,2025-07-21
RPK20230001,CS301,Machine Learning,5.0,2024/2025,SEM2,2025-05-16
RPK20230001,,Technical Writing,3.0,2023/2024,S2,2026-01-02
RPK20230001,PHY101,Physics for Engineers,4.0,2023/2024,SEM2,2025-08-19
RPK20220002,CS302,Cloud Computing,4.0,2023/2024,SEM1,2025-09-17
RPK20220002,CS201,Database Systems,4.0,2023/2024,SEM2,2025-04-15
RPK20220002,PHY101,Physics for Engineers,4.0,2023/2024,S1,2025-05-17
RPK20220002,ENG101,Technical Writing,3.0,2023/2024,Semester 2,2025-02-25
RPK20220002,CS301,Machine Learning,5.0,2024/2025,SEM1,2025-06-04
RPK20230003,CS201,Database Systems,4.0,2023/2024,SEM1,2025-05-05
RPK20230003,MTH102,Linear Algebra,4.0,2025/2026,S2,2025-03-03
RPK20230003,PHY101,Physics for Engineers,4.0,2024/2025,S1,2025-07-14
RPK20230003,CS301,Machine Learning,5.0,2024/2025,SEM1,2026-01-10
RPK20230003,cs302,Cloud Computing,4.0,2025/2026,Semester 2,2025-10-24
RPK20230003,MTH101,Calculus I,4.0,2025/2026,SEM1,2025-03-24
RPK20240004,MTH101,Calculus I,4.0,2023/2024,SEM1,2025-08-17
RPK20240004,CS101,Introduction to Programming,4.0,2025/2026,Semester 1,2025-06-25
RPK20240004,MTH102,Linear Algebra,4.0,2025/2026,S1,2025-04-27
RPK20240004,CS301,Machine Learning,5.0,2024/2025,SEM2,2025-06-30
RPK20250005,CS101,Introduction to Programming,4.0,2023/2024,SEM1,2025-09-28
RPK20250005,CS-201,Database Systems,4.0,2024/2025,Semester 2,2025-05-20
RPK20250005,PHY101,Physics for Engineers,,2025/2026,Semester 1,2025-05-23
RPK20250005,,Data Structures,5.0,2023/2024,SEM2,2025-06-18
RPK20250005,CS302,Cloud Computing,4.0,2024/2025,Semester 2,2025-12-06
RPK20250006,CS102,Data Structures,5.0,2023/2024,SEM1,2025-09-18
RPK20250006,MTH101,Calculus I,4.0,2023/2024,S2,2025-06-29
RPK20250006,PHY101,Physics for Engineers,4.0,2024/2025,Semester 1,2025-04-01
RPK20250006,CS201,Database Systems,4.0,2024/2025,S2,2025-05-23
RPK20250007,CS202,Web Development,3.0,2024/2025,Semester 2,2025-09-07
RPK20250007,CS102,Data Structures,5.0,2025/2026,S2,2025-05-01
RPK20250007,CS302,Cloud Computing,4.0,2024/2025,SEM1,2025-03-18
RPK20250007,MTH101,Calculus I,4.0,2025/2026,Semester 2,2025-08-12
RPK20250008,CS302,Cloud Computing,4.0,2025/2026,S2,2025-08-26
RPK20250008,ENG101,Technical Writing,3.0,2024/2025,Semester 2,2026-01-13
RPK20250008,CS202,Web Development,3.0,2023/2024,Semester 2,2025-02-13
RPK20250008,CS-102,Data Structures,5.0,2023/2024,S2,2025-08-26
RPK20250008,CS301,Machine Learning,5.0,2023/2024,Semester 2,2025-09-04
RPK20250008,PHY101,Physics for Engineers,4.0,2023/2024,SEM1,2025-07-27
RPK20240009,CS301,Machine Learning,5.0,2024/2025,SEM1,2025-05-09
RPK20240009,PHY101,Physics for Engineers,4.0,2023/2024,S2,2025-03-18
RPK20240009,CS102,Data Structures,5.0,2024/2025,S2,2025-03-15
RPK20240009,CS101,Introduction to Programming,4.0,2023/2024,Semester 2,2025-12-05
RPK20240009,,Calculus I,4.0,2024/2025,SEM2,2025-10-18
RPK20220010,CS102,Data Structures,5.0,2023/2024,S2,2025-07-11
RPK20220010,CS202,Web Development,3.0,2024/2025,Semester 2,2025-07-26
RPK20220010,CS-301,Machine Learning,5.0,2025/2026,S2,2025-08-04
RPK20220010,ENG101,Technical Writing,3.0,2025/2026,SEM1,2025-10-11
RPK20230011,CS301,Machine Learning,5.0,2024/2025,SEM1,2025-05-31
RPK20230011,mth102,Linear Algebra,4.0,2024/2025,Semester 2,2025-06-23
RPK20230011,CS201,Database Systems,4.0,2025/2026,S2,2025-11-11
RPK20230011,CS102,Data Structures,5.0,2024/2025,Semester 1,2025-05-02
RPK20230011,MTH101,Calculus I,4.0,2025/2026,Semester 1,2025-04-15
RPK20250012,CS101,Introduction to Programming,4.0,2025/2026,Semester 2,2025-08-29
RPK20250012,CS102,Data Structures,5.0,2025/2026,Semester 2,2025-11-06
RPK20250012,CS302,Cloud Computing,4.0,2025/2026,SEM2,2025-08-27
RPK20250012,PHY101,Physics for Engineers,4.0,2025/2026,S1,2025-10-22
RPK20250012,MTH102,Linear Algebra,4.0,2023/2024,SEM2,2025-08-30
RPK20230013,CS102,Data Structures,5.0,2023/2024,S1,2025-12-28
RPK20230013,ENG101,Technical Writing,3.0,2023/2024,S1,2025-10-05
RPK20230013,CS202,Web Development,3.0,2024/2025,SEM1,2025-02-14
RPK20230013,CS302,Cloud Computing,,2023/2024,Semester 1,2025-09-21
RPK20230013,MTH102,Linear Algebra,4.0,2023/2024,Semester 1,2025-02-26
RPK20230013,PHY101,Physics for Engineers,4.0,2025/2026,Semester 1,2025-08-11
RPK20250014,CS101,Introduction to Programming,4.0,2025/2026,Semester 2,2025-10-02
RPK20250014,ENG101,Technical Writing,3.0,2025/2026,S1,2025-06-06
RPK20250014,PHY101,Physics for Engineers,4.0,2024/2025,S1,2025-11-03
RPK20250014,CS301,Machine Learning,5.0,2025/2026,S1,2025-02-20
RPK20220015,CS102,Data Structures,5.0,2023/2024,S1,2025-07-26
RPK20220015,PHY101,Physics for Engineers,4.0,2025/2026,SEM1,2025-09-11
RPK20220015,CS301,Machine Learning,5.0,2023/2024,S1,2025-03-25
RPK20220015,CS202,Web Development,3.0,2023/2024,Semester 2,2025-06-28
RPK20220016,CS101,Introduction to Programming,4.0,2023/2024,Semester 1,2025-06-05
RPK20220016,CS102,Data Structures,5.0,2024/2025,SEM1,2025-11-11
RPK20220016,CS202,Web Development,3.0,2025/2026,SEM2,2025-07-11
RPK20220016,ENG101,Technical Writing,3.0,2023/2024,S1,2025-05-31
RPK20220016,MTH102,Linear Algebra,4.0,2024/2025,S2,2025-11-18
RPK20220016,CS201,Database Systems,4.0,2023/2024,S1,2025-12-17
RPK20230017,ENG101,Technical Writing,3.0,2023/2024,SEM1,2025-05-17
RPK20230017,CS301,Machine Learning,5.0,2024/2025,S2,2025-07-27
RPK20230017,CS201,Database Systems,4.0,2024/2025,SEM2,2025-11-14
RPK20230017,MTH101,Calculus I,4.0,2025/2026,Semester 2,2025-04-03
RPK20230017,MTH102,Linear Algebra,4.0,2025/2026,SEM1,2026-01-06
RPK20230017,CS102,Data Structures,5.0,2023/2024,SEM2,2025-10-27
RPK20220018,MTH101,Calculus I,4.0,2025/2026,SEM2,2026-01-09
RPK20220018,ENG101,Technical Writing,3.0,2024/2025,S1,2025-03-21
RPK20220018,MTH102,Linear Algebra,4.0,2024/2025,Semester 2,2025-07-16
RPK20220018,CS302,Cloud Computing,4.0,2023/2024,SEM2,2025-09-13
RPK20250019,ENG101,Technical Writing,3.0,2024/2025,S1,2025-11-28
RPK20250019,CS201,Database Systems,4.0,2024/2025,S2,2025-06-25
RPK20250019,CS101,Introduction to Programming,4.0,2025/2026,SEM1,2025-08-15
RPK20250019,CS202,Web Development,3.0,2025/2026,Semester 1,2025-07-22
RPK20250019,CS302,Cloud Computing,4.0,2023/2024,S1,2025-11-09
RPK20250019,MTH101,Calculus I,4.0,2025/2026,Semester 1,2025-11-23
RPK20230020,CS301,Machine Learning,5.0,2025/2026,SEM1,2025-12-30
RPK20230020,MTH102,Linear Algebra,4.0,2024/2025,Semester 2,2025-09-16
RPK20230020,PHY101,Physics for Engineers,4.0,2023/2024,SEM1,2025-12-06
RPK20230020,CS-302,Cloud Computing,4.0,2023/2024,S2,2025-11-15
RPK20230020,MTH101,Calculus I,4.0,2025/2026,S2,2025-04-27
RPK20230020,CS-201,Database Systems,4.0,2024/2025,Semester 1,2025-09-15
RPK20230020,ENG101,Technical Writing,3.0,2025/2026,Semester 2,2025-09-05
RPK20230021,CS302,Cloud Computing,4.0,2024/2025,S2,2025-09-06
RPK20230021,CS301,Machine Learning,5.0,2023/2024,Semester 1,2025-03-27
RPK20230021,CS102,Data Structures,5.0,2025/2026,S2,2025-08-06
RPK20230021,,Technical Writing,3.0,2024/2025,S2,2025-05-08
RPK20230021,MTH102,Linear Algebra,4.0,2023/2024,Semester 2,2025-05-25
RPK20250022,CS201,Database Systems,4.0,2024/2025,SEM1,2025-07-21
RPK20250022,CS302,Cloud Computing,4.0,2025/2026,SEM2,2025-05-10
RPK20250022,MTH101,Calculus I,4.0,2024/2025,Semester 2,2025-11-21
RPK20250022,CS202,Web Development,3.0,2023/2024,SEM2,2025-05-27
RPK20250022,PHY101,Physics for Engineers,4.0,2023/2024,S2,2025-04-20
RPK20230023,CS302,Cloud Computing,4.0,2024/2025,SEM2,2025-07-31
RPK20230023,MTH102,Linear Algebra,4.0,2023/2024,SEM2,2025-12-21
RPK20230023,MTH101,Calculus I,4.0,2024/2025,S2,2025-04-08
RPK20230023,PHY101,Physics for Engineers,4.0,2023/2024,SEM1,2025-10-06
RPK20230024,CS-301,Machine Learning,5.0,2025/2026,SEM1,2025-03-04
RPK20230024,CS-201,Database Systems,4.0,2023/2024,S1,2025-04-08
RPK20230024,CS102,Data Structures,,2024/2025,S2,2026-01-09
RPK20230024,MTH101,Calculus I,,2024/2025,SEM1,2025-04-23
RPK20230024,CS302,Cloud Computing,4.0,2024/2025,SEM2,2025-12-26
RPK20230024,CS101,Introduction to Programming,4.0,2025/2026,S2,2025-04-25
RPK20230024,MTH102,Linear Algebra,4.0,2025/2026,S1,2025-03-09
RPK20250025,CS202,Web Development,3.0,2024/2025,Semester 1,2025-09-08
RPK20250025,CS102,Data Structures,5.0,2023/2024,S2,2025-07-04
RPK20250025,ENG101,Technical Writing,3.0,2025/2026,Semester 2,2025-05-30
RPK20250025,PHY101,Physics for Engineers,,2023/2024,S1,2025-07-03
RPK20230026,CS-302,Cloud Computing,4.0,2025/2026,S1,2025-11-17
RPK20230026,CS101,Introduction to Programming,4.0,2023/2024,S2,2025-07-25
RPK20230026,CS102,Data Structures,5.0,2023/2024,SEM1,2025-08-03
RPK20230026,MTH101,Calculus I,4.0,2024/2025,Semester 2,2026-01-04
RPK20230026,CS201,Database Systems,4.0,2023/2024,S1,2025-12-16
RPK20230026,CS301,Machine Learning,5.0,2023/2024,Semester 1,2025-03-20
RPK20230027,,Physics for Engineers,4.0,2023/2024,SEM2,2025-09-17
RPK20230027,CS-202,Web Development,3.0,2024/2025,SEM2,2025-08-15
RPK20230027,CS201,Database Systems,4.0,2025/2026,SEM1,2025-05-07
RPK20230027,CS102,Data Structures,5.0,2024/2025,SEM2,2025-07-02
RPK20230027,cs302,Cloud Computing,4.0,2023/2024,S2,2025-05-09
RPK20250028,CS201,Database Systems,4.0,2025/2026,SEM2,2025-04-27
RPK20250028,ENG101,Technical Writing,3.0,2024/2025,S1,2025-11-07
RPK20250028,MTH102,Linear Algebra,4.0,2024/2025,SEM2,2025-03-19
RPK20250028,CS-302,Cloud Computing,4.0,2024/2025,S2,2025-12-13
RPK20250028,CS101,Introduction to Programming,4.0,2025/2026,Semester 1,2026-01-12
RPK20230029,PHY101,Physics for Engineers,4.0,2023/2024,S2,2025-03-30
RPK20230029,ENG101,Technical Writing,3.0,2025/2026,S1,2025-12-07
RPK20230029,MTH101,Calculus I,4.0,2023/2024,SEM1,2025-09-21
RPK20230029,CS102,Data Structures,5.0,2025/2026,Semester 2,2025-12-12
RPK20230029,CS202,Web Development,3.0,2023/2024,Semester 1,2025-11-07
RPK20230029,CS201,Database Systems,4.0,2023/2024,SEM2,2025-03-20
RPK20230029,CS302,Cloud Computing,4.0,2024/2025,SEM1,2025-02-20
RPK20220030,CS102,Data Structures,5.0,2023/2024,Semester 2,2025-08-03
RPK20220030,CS202,Web Development,3.0,2025/2026,Semester 1,2025-08-16
RPK20220030,CS-201,Database Systems,4.0,2025/2026,Semester 2,2025-08-15
RPK20220030,,Technical Writing,3.0,2025/2026,SEM2,2025-04-01
RPK20220030,CS302,Cloud Computing,4.0,2024/2025,SEM1,2025-05-01
RPK20250031,MTH102,Linear Algebra,4.0,2024/2025,SEM1,2025-05-22
RPK20250031,CS201,Database Systems,4.0,2025/2026,S2,2025-08-30
RPK20250031,CS302,Cloud Computing,4.0,2023/2024,SEM2,2025-04-30
RPK20250031,CS202,Web Development,3.0,2025/2026,S1,2025-02-15
RPK20220032,MTH102,Linear Algebra,4.0,2024/2025,Semester 1,2025-07-08
RPK20220032,CS201,Database Systems,4.0,2023/2024,SEM2,2026-01-07
RPK20220032,ENG101,Technical Writing,3.0,2025/2026,SEM2,2025-09-27
RPK20220032,CS202,Web Development,3.0,2024/2025,SEM2,2025-08-16
RPK20220032,CS101,Introduction to Programming,4.0,2025/2026,SEM1,2025-03-10
RPK20220032,MTH101,Calculus I,4.0,2023/2024,SEM1,2025-09-09
RPK20240033,CS302,Cloud Computing,4.0,2025/2026,S2,2026-01-03
RPK20240033,CS101,Introduction to Programming,4.0,2023/2024,SEM2,2025-12-22
RPK20240033,CS201,Database Systems,4.0,2024/2025,Semester 1,2025-02-21
RPK20240033,CS301,Machine Learning,5.0,2023/2024,SEM1,2025-10-07
RPK20220034,CS-101,Introduction to Programming,4.0,2024/2025,S1,2025-06-13
RPK20220034,CS-301,Machine Learning,5.0,2024/2025,SEM1,2025-07-03
RPK20220034,PHY101,Physics for Engineers,4.0,2024/2025,SEM1,2025-06-29
RPK20220034,ENG101,Technical Writing,3.0,2023/2024,S2,2025-08-11
RPK20220034,CS201,Database Systems,4.0,2024/2025,SEM1,2025-06-08
RPK20220034,CS302,Cloud Computing,4.0,2024/2025,Semester 1,2025-12-29
RPK20220035,CS-201,Database Systems,4.0,2024/2025,SEM2,2025-03-17
RPK20220035,CS-202,Web Development,3.0,2024/2025,Semester 2,2025-11-12
RPK20220035,CS302,Cloud Computing,4.0,2023/2024,SEM1,2025-12-01
RPK20220035,PHY101,Physics for Engineers,4.0,2023/2024,S2,2025-10-16
RPK20220035,MTH102,Linear Algebra,4.0,2025/2026,Semester 1,2025-09-04
RPK20240036,CS-101,Introduction to Programming,4.0,2024/2025,S1,2025-08-15
RPK20240036,CS301,Machine Learning,5.0,2024/2025,Semester 2,2025-11-20
RPK20240036,CS302,Cloud Computing,4.0,2023/2024,S2,2026-01-05
RPK20240036,MTH102,Linear Algebra,4.0,2025/2026,SEM2,2025-04-15
RPK20240036,ENG101,Technical Writing,3.0,2025/2026,SEM1,2025-06-19
RPK20240036,MTH101,Calculus I,4.0,2024/2025,SEM1,2025-05-25
RPK20250037,CS202,Web Development,3.0,2024/2025,S2,2025-06-07
RPK20250037,MTH101,Calculus I,4.0,2023/2024,SEM1,2025-12-15
RPK20250037,CS301,Machine Learning,5.0,2025/2026,SEM1,2025-11-09
RPK20250037,CS102,Data Structures,5.0,2023/2024,SEM2,2025-04-17
RPK20250037,CS-101,Introduction to Programming,4.0,2024/2025,Semester 1,2025-07-27
RPK20250037,CS302,Cloud Computing,4.0,2023/2024,S1,2025-07-02
RPK20240038,CS102,Data Structures,5.0,2023/2024,SEM1,2025-04-15
RPK20240038,CS202,Web Development,3.0,2024/2025,S1,2025-10-19
RPK20240038,CS101,Introduction to Programming,4.0,2024/2025,SEM1,2025-09-24
RPK20240038,CS-302,Cloud Computing,4.0,2025/2026,Semester 2,2025-07-17
RPK20240038,CS201,Database Systems,4.0,2025/2026,Semester 1,2025-08-22
RPK20240038,MTH102,Linear Algebra,4.0,2024/2025,SEM1,2025-09-16
RPK20240038,phy101,Physics for Engineers,4.0,2024/2025,SEM2,2025-11-01
RPK20220039,cs202,Web Development,3.0,2023/2024,Semester 2,2025-08-14
RPK20220039,ENG101,Technical Writing,3.0,2024/2025,Semester 1,2025-05-26
RPK20220039,CS301,Machine Learning,5.0,2023/2024,SEM1,2025-04-29
RPK20220039,MTH102,Linear Algebra,4.0,2025/2026,Semester 2,2025-03-11
RPK20220039,PHY101,Physics for Engineers,4.0,2025/2026,Semester 1,2025-11-15
RPK20220039,MTH101,Calculus I,4.0,2023/2024,Semester 1,2025-03-14
RPK20220040,ENG101,Technical Writing,3.0,2023/2024,Semester 2,2025-07-09
RPK20220040,CS101,Introduction to Programming,4.0,2023/2024,Semester 1,2025-04-11
RPK20220040,CS202,Web Development,3.0,2025/2026,S1,2025-10-24
RPK20220040,MTH102,Linear Algebra,4.0,2024/2025,Semester 1,2025-07-03
RPK20220040,MTH101,Calculus I,4.0,2023/2024,Semester 1,2025-09-10
RPK20220040,CS301,Machine Learning,5.0,2023/2024,SEM1,2025-04-23
RPK20220041,phy101,Physics for Engineers,4.0,2024/2025,S2,2025-05-14
RPK20220041,ENG101,Technical Writing,3.0,2024/2025,SEM2,2025-05-04
RPK20220041,CS102,Data Structures,5.0,2023/2024,S2,2025-04-11
RPK20220041,CS101,Introduction to Programming,4.0,2023/2024,Semester 2,2025-07-22
RPK20220041,CS302,Cloud Computing,4.0,2025/2026,S2,2025-05-10
RPK20220041,CS-201,Database Systems,4.0,2024/2025,SEM2,2025-11-20
RPK20250042,CS102,Data Structures,5.0,2023/2024,SEM2,2025-11-24
RPK20250042,CS301,Machine Learning,5.0,2023/2024,Semester 2,2025-06-20
RPK20250042,ENG101,Technical Writing,3.0,2023/2024,SEM2,2025-12-16
RPK20250042,CS302,Cloud Computing,4.0,2023/2024,S2,2025-03-31
RPK20250042,CS201,Database Systems,4.0,2025/2026,SEM2,2025-10-29
RPK20250042,PHY101,Physics for Engineers,4.0,2025/2026,S1,2025-05-07
RPK20250042,CS202,Web Development,3.0,2025/2026,S2,2025-12-23
RPK20250043,ENG101,Technical Writing,3.0,2025/2026,Semester 1,2025-10-16
RPK20250043,MTH102,Linear Algebra,4.0,2023/2024,S2,2025-05-07
RPK20250043,CS302,Cloud Computing,4.0,2023/2024,Semester 1,2025-12-14
RPK20250043,CS201,Database Systems,4.0,2025/2026,S1,2025-11-22
RPK20250043,CS202,Web Development,3.0,2023/2024,SEM1,2025-04-22
RPK20220044,CS302,Cloud Computing,4.0,2023/2024,Semester 2,2026-01-10
RPK20220044,CS301,Machine Learning,5.0,2025/2026,SEM1,2025-05-06
RPK20220044,phy101,Physics for Engineers,4.0,2025/2026,Semester 1,2025-05-15
RPK20220044,CS201,Database Systems,4.0,2024/2025,Semester 1,2025-12-21
RPK20230045,cs101,Introduction to Programming,4.0,2023/2024,Semester 1,2025-09-07
RPK20230045,CS301,Machine Learning,,2024/2025,SEM1,2025-08-08
RPK20230045,MTH102,Linear Algebra,4.0,2024/2025,S1,2025-09-30
RPK20230045,ENG101,Technical Writing,3.0,2023/2024,Semester 2,2025-09-06
RPK20230045,,Physics for Engineers,4.0,2025/2026,SEM2,2025-07-11
RPK20220046,PHY101,Physics for Engineers,4.0,2025/2026,Semester 1,2025-08-15
RPK20220046,MTH102,Linear Algebra,4.0,2024/2025,S1,2025-07-04
RPK20220046,CS201,Database Systems,4.0,2024/2025,S2,2025-03-22
RPK20220046,CS202,Web Development,3.0,2025/2026,S2,2025-09-30
RPK20220047,PHY101,Physics for Engineers,4.0,2024/2025,Semester 1,2025-05-18
RPK20220047,CS202,Web Development,3.0,2024/2025,SEM1,2025-04-08
RPK20220047,MTH102,Linear Algebra,4.0,2025/2026,S2,2025-03-08
RPK20220047,MTH101,Calculus I,4.0,2025/2026,Semester 2,2025-05-20
RPK20220047,CS302,Cloud Computing,4.0,2023/2024,S1,2025-12-18
RPK20240048,CS202,Web Development,3.0,2024/2025,Semester 2,2025-05-04
RPK20240048,CS201,Database Systems,4.0,2024/2025,S1,2025-09-09
RPK20240048,MTH101,Calculus I,4.0,2023/2024,SEM1,2025-09-15
