Student_ID,Course_Code,Course_Title,Credits,Academic_Year,Semester,Enrollment_Date
RPM20240001,MTH101,Calculus I,4.0,2025/2026,Semester 1,2025-10-22
RPM20240001,CS202,Web Development,3.0,2024/2025,Semester 1,2025-03-25
RPM20240001,CS201,Database Systems,4.0,2023/2024,Semester 2,2025-07-15
RPM20240001,MTH102,Linear Algebra,4.0,2025/2026,Semester 1,2025-09-20
RPM20240001,ENG101,Technical Writing,3.0,2024/2025,SEM2,2025-08-25
RPM20240001,CS301,Machine Learning,,2024/2025,SEM2,2025-10-14
RPM20240001,PHY101,Physics for Engineers,4.0,2023/2024,SEM2,2025-06-22
RPM20230002,CS301,Machine Learning,5.0,2023/2024,SEM1,2025-11-23
RPM20230002,CS101,Introduction to Programming,4.0,2024/2025,S2,2025-05-24
RPM20230002,CS201,Database Systems,4.0,2025/2026,Semester 2,2025-04-11
RPM20230002,CS302,Cloud Computing,4.0,2025/2026,S2,2025-12-31
RPM20230002,CS102,Data Structures,5.0,2025/2026,SEM1,2025-02-21
RPM20240003,CS201,Database Systems,4.0,2025/2026,Semester 2,2025-09-07
RPM20240003,CS202,Web Development,3.0,2024/2025,Semester 1,2025-09-17
RPM20240003,CS302,Cloud Computing,4.0,2023/2024,S2,2025-09-13
RPM20240003,MTH102,Linear Algebra,4.0,2024/2025,SEM1,2025-11-15
RPM20240003,CS102,Data Structures,5.0,2025/2026,SEM2,2025-09-20
RPM20250004,CS102,Data Structures,5.0,2025/2026,SEM1,2025-06-21
RPM20250004,MTH101,Calculus I,4.0,2025/2026,SEM2,2025-07-28
RPM20250004,PHY101,Physics for Engineers,4.0,2024/2025,SEM2,2025-03-22
RPM20250004,CS101,Introduction to Programming,4.0,2023/2024,S1,2025-05-06
RPM20250004,,Machine Learning,5.0,2025/2026,S2,2025-08-01
RPM20250004,CS201,Database Systems,4.0,2025/2026,S2,2025-09-18
RPM20250004,ENG101,Technical Writing,3.0,2023/2024,Semester 2,2025-06-08
RPM20230005,CS301,Machine Learning,5.0,2025/2026,Semester 1,2025-05-18
RPM20230005,CS-302,Cloud Computing,4.0,2023/2024,Semester 2,2025-10-25
RPM20230005,CS202,Web Development,3.0,2023/2024,S2,2025-12-24
RPM20230005,ENG101,Technical Writing,3.0,2025/2026,S1,2025-06-16
RPM20250006,CS202,Web Development,3.0,2025/2026,Semester 1,2025-03-11
RPM20250006,CS102,Data Structures,5.0,2023/2024,Semester 2,2025-12-19
RPM20250006,MTH102,Linear Algebra,4.0,2023/2024,S1,2025-06-20
RPM20250006,CS101,Introduction to Programming,4.0,2023/2024,S2,2025-03-13
RPM20250006,CS302,Cloud Computing,4.0,2025/2026,S1,2025-05-08
RPM20250007,CS102,Data Structures,5.0,2023/2024,SEM2,2025-04-28
RPM20250007,cs201,Database Systems,4.0,2023/2024,SEM2,2025-10-01
RPM20250007,CS-202,Web Development,3.0,2024/2025,S2,2025-08-30
RPM20250007,CS301,Machine Learning,5.0,2024/2025,SEM2,2025-05-23
RPM20250007,CS302,Cloud Computing,4.0,2023/2024,S1,2025-11-04
RPM20250007,CS101,Introduction to Programming,4.0,2025/2026,SEM1,2025-05-01
RPM20250007,ENG101,Technical Writing,3.0,2023/2024,Semester 1,2025-04-19
RPM20220008,CS202,Web Development,,2025/2026,Semester 2,2025-04-25
RPM20220008,CS101,Introduction to Programming,4.0,2023/2024,SEM1,2025-04-01
RPM20220008,,Cloud Computing,4.0,2024/2025,SEM2,2025-04-05
RPM20220008,CS301,Machine Learning,5.0,2024/2025,SEM2,2025-10-29
